Name,Year,Team,Age,Pos.,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144
심우준,2022,KT,27,SS,129,124,1048.1,74,0,211,298,16,464,80.6,97.0,4.37,-0.82,-0.68,0.4,,-1.11,-1.21
최정,2022,SSG,35,3B,117,115,958.1,61,1,71,170,12,246,69.9,95.3,2.26,1.61,-0.14,0.38,-0.02,1.84,2.18
최정,2023,SSG,36,3B,114,112,934.1,55,0,70,175,13,193,64.8,95.0,2.36,-9.59,1.58,0.69,0.02,-7.31,-8.23
최정,2024,SSG,37,3B,35,33,265.0,12,0,15,40,4,34,52.9,93.2,1.87,-2.64,-0.01,0.0,0.03,-2.62,-10.18
김성욱,2023,NC,30,LF,31,19,167.2,0,0,37,0,0,26,100.0,100.0,1.99,2.46,0.31,,,3.06,4.73
김성욱,2023,NC,30,CF,26,17,154.1,0,0,38,0,0,19,100.0,100.0,2.22,-5.17,0.21,,,-4.85,-7.51
김성욱,2023,NC,30,RF,45,5,119.2,0,0,23,1,0,8,100.0,100.0,1.81,-0.17,0.24,,,1.1,1.71
김성욱,2024,NC,31,LF,5,0,10.0,0,0,0,0,0,0,,,0.00,-0.35,0.01,,,-0.34,-1.22
김성욱,2024,NC,31,CF,35,33,278.1,0,0,76,1,0,32,100.0,100.0,"2.49,",1.45,0.41,,,1.39,5.01
김성욱,2024,NC,31,RF,7,2,24.0,0,0,2,0,0,0,,100.0,0.75,0.51,0.08,,,0.29,1.03
김재호,2022,두산,37,3B,7,4,34.0,5,0,3,10,0,13,61.5,100.0,3.44,1.79,0.03,-0.38,0.12,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,53,1,111,184,6,270,77.8,98.0,4.58,1.3,0.48,-1.03,,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0,0,0,1,1,0,,50.0,4.5,-0.3,-0.49,,,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,29,2,119,166,9,165,75.8,96.9,4.2,7.18,-0.45,0.13,,6.87,10.87
김재호,2024,두산,39,SS,6,5,38.0,1,0,6,9,1,5,60.0,93.8,3.55,-2.15,0.14,0.66,,-1.35,-32.47
허경민,2022,두산,32,2B,1,0,2.0,0,0,0,2,0,2,100.0,100.0,9.0,0.23,0.0,,,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,91,0,111,158,9,266,62.4,96.8,2.48,-14.19,0.36,0.24,-0.14,-13.74,-16.35
